episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
890,-21.33420793126337,0.003755469911063019,-3.5187756951961906,4.471117400050649e-06,-3.5187756951961906,4.471117400050649e-06,30873,0.9966254221752036,0.0033745778247964136,890000,21.287799724158,-2.4349242888634427e-08,"[[9.031e-01,9.685e-02,4.495e-06],[7.395e-04,1.176e-01,8.817e-01]]"
900,-21.23237903516189,0.003703005573575749,-3.497329603115675,4.473661343980555e-06,-3.497329603115675,4.473661343980555e-06,31254,0.9966373490131758,0.003362650986824194,900000,21.18745840590229,-0.000404694190784032,"[[0.22,0.55,0.229],[0.269,0.39,0.342]]"
910,-21.13448836031146,0.0036466948487700684,-3.474940063265143,4.499954189568224e-06,-3.474940063265143,4.499954189568224e-06,31632,0.9967029221693614,0.003297077830638617,910000,21.091735668522826,-1.746708335808029e-07,"[[0.22,0.55,0.229],[0.269,0.389,0.342]]"
920,-21.04065943639572,0.003583469960047877,-3.454659271623284,4.508073056653713e-06,-3.454659271623284,4.508073056653713e-06,32006,0.9967997583031375,0.0032002416968625225,920000,20.999238517822658,-6.505676168255598,"[[0.221,0.55,0.229],[0.269,0.389,0.342]]"
930,-20.949597443364365,0.003524781083068694,-3.434859388652787,4.523696335597354e-06,-3.434859388652787,4.523696335597354e-06,32382,0.9969121141964707,0.003087885803529268,930000,20.909378339614715,-6.338396474347971e-12,"[[0.221,0.55,0.229],[0.269,0.389,0.342]]"
940,-20.861076363403775,0.003471080697621675,-3.4163740055546747,4.5402944989992385e-06,-3.4163740055546747,4.5402944989992385e-06,32751,0.9970504004273342,0.0029495995726658434,940000,20.822164722900478,-10.810792226935133,"[[0.001,0.998,0.001],[0.006,0.755,0.239]]"
950,-20.775721740339456,0.00341904477990784,-3.396519564545539,4.5655867126243675e-06,-3.396519564545539,4.5655867126243675e-06,33127,0.9971015063444986,0.0028984936555013804,950000,20.738180688377074,-2.6929569685307776e-13,"[[0.005,0.837,0.158],[0.007,0.148,0.845]]"
960,-20.69353293630966,0.0033695165646623684,-3.3777584763430664,4.5723274506752865e-06,-3.3777584763430664,4.5723274506752865e-06,33500,0.9972878340740322,0.0027121659259678166,960000,20.6575099343083,-1.3470991193655466e-07,"[[0.197,0.799,0.004],[0.242,0.71,0.048]]"
970,-20.614393815301447,0.00331961221097306,-3.360199790746352,4.597520800077262e-06,-3.360199790746352,4.597520800077262e-06,33883,0.9971767723251184,0.0028232276748816894,970000,20.57949775318388,-6.22938072615115,"[[0.105,0.874,0.021],[0.506,0.463,0.031]]"
980,-20.537555045681668,0.0032744434699667063,-3.3430915330122963,4.592175778982616e-06,-3.3430915330122963,4.592175778982616e-06,34257,0.9972156696366523,0.0027843303633477024,980000,20.503658303159696,-1.660627932943924e-07,"[[0.222,0.55,0.228],[0.27,0.388,0.342]]"
990,-20.462884300159875,0.003234771334431155,-3.3274899187753135,4.6076652193970985e-06,-3.3274899187753135,4.6076652193970985e-06,34629,0.997386581135729,0.0026134188642709744,990000,20.429897169229662,-0.04489313541667453,"[[0.215,0.543,0.242],[0.277,0.385,0.338]]"
