episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
640,-11.06038469577555,0.0022168755944499854,-2.478978303452949,4.760179363586184e-06,-2.478978303452949,4.760179363586184e-06,13112,0.9943100793912525,0.005689920608747526,640000,10.797700172812167,-27.81848428776489,"[[0.002,0.998],[0.994,0.006]]"
650,-10.620896793456067,0.0017395563635781211,-2.4007852567615,4.057640003200561e-06,-2.4007852567615,4.057640003200561e-06,13328,0.9944394385984853,0.005560561401514758,650000,10.508439760617055,-1.7195159740524873e-10,"[[0.625,0.375],[0.425,0.575]]"
660,-10.352718056648268,0.0016917830091367433,-2.341648401399049,4.218673819281181e-06,-2.341648401399049,4.218673819281181e-06,13544,0.9944947512646131,0.005505248735386961,660000,10.227737861616792,-1.2897879534119329e-05,"[[0.975,0.025],[0.035,0.965]]"
670,-10.083648736105811,0.001727263269996829,-2.2931505328237898,4.154639509134791e-06,-2.2931505328237898,4.154639509134791e-06,13760,0.9945284799830134,0.005471520016986563,670000,9.968155536930086,-58.82468310849976,"[[0.98,0.02],[0.035,0.965]]"
680,-9.857629068575632,0.0016641407047146505,-2.246893056886691,4.628476986168258e-06,-2.246893056886691,4.628476986168258e-06,13975,0.9947665563188032,0.005233443681196848,680000,9.790842664967474,-23.75565399405606,"[[0.197,0.803],[0.842,0.158]]"
690,-9.63784827799836,0.0017364398573086047,-2.16929030213778,4.013865588278182e-06,-2.16929030213778,4.013865588278182e-06,14194,0.9946853203812268,0.005314679618773183,690000,9.496765079620845,-6.679101716144936e-14,"[[0.003,0.997],[0.991,0.009]]"
700,-9.363577342385707,0.0014382937846238464,-2.1077137529076495,3.6267522880598305e-06,-2.1077137529076495,3.6267522880598305e-06,14408,0.9948581452245754,0.005141854775424606,700000,9.257527445068165,-23.08692624642577,"[[0.635,0.365],[0.415,0.585]]"
710,-9.13034382191797,0.0014022222323851164,-2.053906411825143,3.654272089992872e-06,-2.053906411825143,3.654272089992872e-06,14628,0.9949296521458422,0.005070347854157844,710000,9.02784485905121,-26.3083761451365,"[[0.299,0.701],[0.378,0.622]]"
720,-8.908982667479112,0.0013642074476946022,-2.000952184432533,3.5955728594558624e-06,-2.000952184432533,3.5955728594558624e-06,14846,0.9949218150289777,0.005078184971022353,720000,8.812552761248797,-1.8766777021284104e-11,"[[0.638,0.362],[0.41,0.59]]"
730,-8.698026920200329,0.0012930686444127628,-1.947594757516347,3.444601179509059e-06,-1.947594757516347,3.444601179509059e-06,15061,0.9951006857492288,0.004899314250771176,730000,8.60578125296602,-1.2789769243681807e-14,"[[0.638,0.362],[0.409,0.591]]"
740,-8.493576172213723,0.001253804147826651,-1.8978490866575453,3.3446134788481096e-06,-1.8978490866575453,3.3446134788481096e-06,15279,0.9950585565804726,0.004941443419527404,740000,8.400003659824986,-5.6843418860808e-14,"[[0.638,0.362],[0.408,0.592]]"
750,-8.286744967615798,0.0012059437464319541,-1.8482793281298344,3.250459475755996e-06,-1.8482793281298344,3.250459475755996e-06,15496,0.9952141042346203,0.00478589576537964,750000,8.194543967975308,-1.3500311979441906e-14,"[[0.639,0.361],[0.407,0.593]]"
760,-8.082017254183823,0.0011618695036026776,-1.798254725278662,3.1393605593031456e-06,-1.798254725278662,3.1393605593031456e-06,15715,0.995258793021398,0.00474120697860205,760000,7.990260665150359,-38.7284921395731,"[[0.639,0.361],[0.406,0.594]]"
770,-7.880173410996544,0.0011110618334084937,-1.7501274716252333,3.0659846395565373e-06,-1.7501274716252333,3.0659846395565373e-06,15933,0.9952844245672725,0.004715575432727506,770000,7.790850010585048,-1.3325066147469828,"[[0.64,0.36],[0.405,0.595]]"
780,-7.68280243424754,0.0010627024796076635,-1.701150213262381,2.983804223290391e-06,-1.701150213262381,2.983804223290391e-06,16151,0.9954075286504805,0.0045924713495194645,780000,7.594592308000195,-2.316369318577924e-13,"[[0.98,0.02],[0.022,0.978]]"
790,-7.488258707167459,0.0010293306730525347,-1.6520852413128848,2.9151861469316765e-06,-1.6520852413128848,2.9151861469316765e-06,16371,0.9953688441058558,0.004631155894144227,790000,7.402040259097504,0.0,"[[0.642,0.358],[0.403,0.597]]"
